,0,ambientRaw,ambientTemp,descriptor,epoch,objectRaw,objectTemp,timestamp
461,1664398287.0495648,,,,,,,
462,2.0,,,,,,,
463,537147.0,,,,,,,
464,13501.0,,,,,,,
465,64483.0,,,,,,,
466,295.3127746582031,,,,,,,
467,295.4197082519531,,,,,,,
468,1664398287.056556,,,,,,,
469,3.0,,,,,,,
470,537149.0,,,,,,,
471,12753.0,,,,,,,
472,65094.0,,,,,,,
473,295.0802307128906,,,,,,,
474,296.7900390625,,,,,,,
475,1664398287.0631208,,,,,,,
476,4.0,,,,,,,
477,537150.0,,,,,,,
478,12810.0,,,,,,,
479,65083.0,,,,,,,
480,295.2895202636719,,,,,,,
481,296.6320495605469,,,,,,,
482,1664398287.06973,,,,,,,
483,5.0,,,,,,,
484,537151.0,,,,,,,
485,13281.0,,,,,,,
486,65058.0,,,,,,,
487,294.63836669921875,,,,,,,
488,296.2987060546875,,,,,,,
489,1664398287.0750341,,,,,,,
490,1.0,,,,,,,
491,538146.0,,,,,,,
492,13086.0,,,,,,,
493,64500.0,,,,,,,
494,294.9755859375,,,,,,,
495,295.0113525390625,,,,,,,
496,1664398288.0403142,,,,,,,
497,2.0,,,,,,,
498,538147.0,,,,,,,
499,13501.0,,,,,,,
500,64480.0,,,,,,,
501,295.3127746582031,,,,,,,
502,295.41168212890625,,,,,,,
503,1664398288.054791,,,,,,,
504,3.0,,,,,,,
505,538149.0,,,,,,,
506,12749.0,,,,,,,
507,65058.0,,,,,,,
508,295.0569763183594,,,,,,,
509,296.67181396484375,,,,,,,
510,1664398288.062866,,,,,,,
511,4.0,,,,,,,
512,538150.0,,,,,,,
513,12808.0,,,,,,,
514,65032.0,,,,,,,
515,295.27789306640625,,,,,,,
516,296.4768981933594,,,,,,,
517,1664398288.0652878,,,,,,,
518,5.0,,,,,,,
519,538151.0,,,,,,,
520,13284.0,,,,,,,
521,65000.0,,,,,,,
522,294.65582275390625,,,,,,,
523,296.1478576660156,,,,,,,
524,1664398288.067432,,,,,,,
525,1.0,,,,,,,
526,539146.0,,,,,,,
527,13084.0,,,,,,,
528,64506.0,,,,,,,
529,294.9639587402344,,,,,,,
530,295.0150451660156,,,,,,,
531,1664398289.047127,,,,,,,
532,2.0,,,,,,,
533,539147.0,,,,,,,
534,13500.0,,,,,,,
535,64481.0,,,,,,,
536,295.3069763183594,,,,,,,
537,295.4085693359375,,,,,,,
538,1664398289.0514932,,,,,,,
539,3.0,,,,,,,
540,539149.0,,,,,,,
541,12750.0,,,,,,,
542,65078.0,,,,,,,
543,295.0627746582031,,,,,,,
544,296.7304992675781,,,,,,,
545,1664398289.053878,,,,,,,
546,4.0,,,,,,,
547,539150.0,,,,,,,
548,12808.0,,,,,,,
549,65066.0,,,,,,,
550,295.27789306640625,,,,,,,
551,296.57269287109375,,,,,,,
552,1664398289.0561962,,,,,,,
553,5.0,,,,,,,
554,539151.0,,,,,,,
555,13281.0,,,,,,,
556,65053.0,,,,,,,
557,294.63836669921875,,,,,,,
558,296.28424072265625,,,,,,,
559,1664398289.06427,,,,,,,
560,1.0,,,,,,,
561,540146.0,,,,,,,
562,13086.0,,,,,,,
563,64505.0,,,,,,,
564,294.9755859375,,,,,,,
565,295.02410888671875,,,,,,,
566,1664398290.034677,,,,,,,
567,2.0,,,,,,,
568,540147.0,,,,,,,
569,13504.0,,,,,,,
570,64483.0,,,,,,,
571,295.3302307128906,,,,,,,
572,295.4371337890625,,,,,,,
573,1664398290.04463,,,,,,,
574,3.0,,,,,,,
575,540149.0,,,,,,,
576,12749.0,,,,,,,
577,65091.0,,,,,,,
578,295.0569763183594,,,,,,,
579,296.75921630859375,,,,,,,
580,1664398290.0549572,,,,,,,
581,4.0,,,,,,,
582,540150.0,,,,,,,
583,12806.0,,,,,,,
584,65074.0,,,,,,,
585,295.2662658691406,,,,,,,
586,296.583740234375,,,,,,,
587,1664398290.0584562,,,,,,,
588,5.0,,,,,,,
589,540151.0,,,,,,,
590,13279.0,,,,,,,
591,65053.0,,,,,,,
592,294.6267395019531,,,,,,,
593,296.27276611328125,,,,,,,
594,1664398290.0610921,,,,,,,
595,1.0,,,,,,,
596,541146.0,,,,,,,
597,13084.0,,,,,,,
598,64505.0,,,,,,,
599,294.9639587402344,,,,,,,
600,295.0124816894531,,,,,,,
601,1664398291.045602,,,,,,,
602,2.0,,,,,,,
603,541147.0,,,,,,,
604,13502.0,,,,,,,
605,64484.0,,,,,,,
606,295.318603515625,,,,,,,
607,295.4281921386719,,,,,,,
608,1664398291.0501602,,,,,,,
609,3.0,,,,,,,
610,541149.0,,,,,,,
611,12750.0,,,,,,,
612,65085.0,,,,,,,
613,295.0627746582031,,,,,,,
614,296.7490234375,,,,,,,
615,1664398291.052764,,,,,,,
616,4.0,,,,,,,
617,541150.0,,,,,,,
618,12806.0,,,,,,,
619,65061.0,,,,,,,
620,295.2662658691406,,,,,,,
621,296.547119140625,,,,,,,
622,1664398291.055228,,,,,,,
623,5.0,,,,,,,
624,541151.0,,,,,,,
625,13279.0,,,,,,,
626,65038.0,,,,,,,
627,294.6267395019531,,,,,,,
628,296.2293395996094,,,,,,,
629,1664398291.057751,,,,,,,
630,1.0,,,,,,,
631,542146.0,,,,,,,
632,13081.0,,,,,,,
633,64503.0,,,,,,,
634,294.9465026855469,,,,,,,
635,294.9899597167969,,,,,,,
